pintu_masuk,tanggal,jumlah_kunjungan,grup_pintu
Adi Sucipto,2025-01-01,7001,Udara
Adi Sucipto,2025-02-01,6326,Udara
Adi Sucipto,2025-03-01,7408,Udara
Adi Sucipto,2025-04-01,6984,Udara
Adi Sucipto,2025-05-01,6790,Udara
Adi Sucipto,2025-06-01,6976,Udara
Adi Sucipto,2025-07-01,6916,Udara
Adi Sucipto,2025-08-01,7243,Udara
Adi Sucipto,2025-09-01,7246,Udara
Adi Sucipto,2025-10-01,7632,Udara
Adi Sucipto,2025-11-01,7852,Udara
Adi Sucipto,2025-12-01,7926,Udara
Tanjung Uban,2025-01-01,24185,Laut
Tanjung Uban,2025-02-01,23058,Laut
Tanjung Uban,2025-03-01,23041,Laut
Tanjung Uban,2025-04-01,23792,Laut
Tanjung Uban,2025-05-01,23275,Laut
Tanjung Uban,2025-06-01,23071,Laut
Tanjung Uban,2025-07-01,23341,Laut
Tanjung Uban,2025-08-01,23816,Laut
Tanjung Uban,2025-09-01,22609,Laut
Tanjung Uban,2025-10-01,23294,Laut
Tanjung Uban,2025-11-01,24040,Laut
Tanjung Uban,2025-12-01,26349,Laut
Bandara Int. Lombok,2025-01-01,6077,Udara
Bandara Int. Lombok,2025-02-01,5415,Udara
Bandara Int. Lombok,2025-03-01,5526,Udara
Bandara Int. Lombok,2025-04-01,5628,Udara
Bandara Int. Lombok,2025-05-01,5434,Udara
Bandara Int. Lombok,2025-06-01,5351,Udara
Bandara Int. Lombok,2025-07-01,5761,Udara
Bandara Int. Lombok,2025-08-01,5713,Udara
Bandara Int. Lombok,2025-09-01,5498,Udara
Bandara Int. Lombok,2025-10-01,5734,Udara
Bandara Int. Lombok,2025-11-01,5627,Udara
Bandara Int. Lombok,2025-12-01,5746,Udara
Ngurah Rai,2025-01-01,522402,Udara
Ngurah Rai,2025-02-01,541043,Udara
Ngurah Rai,2025-03-01,535060,Udara
Ngurah Rai,2025-04-01,541330,Udara
Ngurah Rai,2025-05-01,537170,Udara
Ngurah Rai,2025-06-01,538441,Udara
Ngurah Rai,2025-07-01,543503,Udara
Ngurah Rai,2025-08-01,543360,Udara
Ngurah Rai,2025-09-01,533708,Udara
Ngurah Rai,2025-10-01,522454,Udara
Ngurah Rai,2025-11-01,526966,Udara
Ngurah Rai,2025-12-01,530842,Udara
Tanjung Balai Karimun,2025-01-01,6977,Laut
Tanjung Balai Karimun,2025-02-01,6933,Laut
Tanjung Balai Karimun,2025-03-01,7077,Laut
Tanjung Balai Karimun,2025-04-01,6665,Laut
Tanjung Balai Karimun,2025-05-01,6546,Laut
Tanjung Balai Karimun,2025-06-01,6482,Laut
Tanjung Balai Karimun,2025-07-01,6416,Laut
Tanjung Balai Karimun,2025-08-01,6632,Laut
Tanjung Balai Karimun,2025-09-01,6752,Laut
Tanjung Balai Karimun,2025-10-01,6640,Laut
Tanjung Balai Karimun,2025-11-01,6750,Laut
Tanjung Balai Karimun,2025-12-01,7367,Laut
Supadio,2025-01-01,354,Udara
Supadio,2025-02-01,418,Udara
Supadio,2025-03-01,800,Udara
Supadio,2025-04-01,741,Udara
Supadio,2025-05-01,941,Udara
Supadio,2025-06-01,933,Udara
Supadio,2025-07-01,943,Udara
Supadio,2025-08-01,1471,Udara
Supadio,2025-09-01,1830,Udara
Supadio,2025-10-01,2034,Udara
Supadio,2025-11-01,2116,Udara
Supadio,2025-12-01,2088,Udara
Entikong,2025-01-01,1843,Darat
Entikong,2025-02-01,2277,Darat
Entikong,2025-03-01,2167,Darat
Entikong,2025-04-01,1717,Darat
Entikong,2025-05-01,2082,Darat
Entikong,2025-06-01,1950,Darat
Entikong,2025-07-01,1775,Darat
Entikong,2025-08-01,2035,Darat
Entikong,2025-09-01,1816,Darat
Entikong,2025-10-01,1834,Darat
Entikong,2025-11-01,2046,Darat
Entikong,2025-12-01,3209,Darat
Nanga Badau,2025-01-01,823,Darat
Nanga Badau,2025-02-01,842,Darat
Nanga Badau,2025-03-01,821,Darat
Nanga Badau,2025-04-01,708,Darat
Nanga Badau,2025-05-01,712,Darat
Nanga Badau,2025-06-01,725,Darat
Nanga Badau,2025-07-01,729,Darat
Nanga Badau,2025-08-01,744,Darat
Nanga Badau,2025-09-01,734,Darat
Nanga Badau,2025-10-01,727,Darat
Nanga Badau,2025-11-01,733,Darat
Nanga Badau,2025-12-01,838,Darat
Tanjung Pinang,2025-01-01,7303,Laut
Tanjung Pinang,2025-02-01,7115,Laut
Tanjung Pinang,2025-03-01,7045,Laut
Tanjung Pinang,2025-04-01,7285,Laut
Tanjung Pinang,2025-05-01,7226,Laut
Tanjung Pinang,2025-06-01,7242,Laut
Tanjung Pinang,2025-07-01,7252,Laut
Tanjung Pinang,2025-08-01,7248,Laut
Tanjung Pinang,2025-09-01,7271,Laut
Tanjung Pinang,2025-10-01,7223,Laut
Tanjung Pinang,2025-11-01,7335,Laut
Tanjung Pinang,2025-12-01,9709,Laut
Aruk,2025-01-01,1064,Darat
Aruk,2025-02-01,1111,Darat
Aruk,2025-03-01,1087,Darat
Aruk,2025-04-01,741,Darat
Aruk,2025-05-01,704,Darat
Aruk,2025-06-01,874,Darat
Aruk,2025-07-01,899,Darat
Aruk,2025-08-01,878,Darat
Aruk,2025-09-01,827,Darat
Aruk,2025-10-01,830,Darat
Aruk,2025-11-01,856,Darat
Aruk,2025-12-01,1053,Darat
Batam,2025-01-01,122494,Laut
Batam,2025-02-01,113708,Laut
