Tanggal,Pintu Masuk,Jumlah Kunjungan
2010-01-01,A. Pintu Udara,340049.0
2010-01-01,Soekarno-Hatta,117422.0
2010-01-01,Juanda,13889.0
2010-01-01,Kualanamu,11365.0
2010-01-01,Husein Sastranegara,6444.0
2010-01-01,Adi Sucipto,3672.0
2010-01-01,Sam Ratulangi,1841.0
2010-01-01,B. Pintu Laut,119784.0
2010-01-01,Ngurah Rai,178358.0
2010-01-01,Sultan Iskandar Muda,
2010-01-01,Ahmad Yani,
2010-01-01,Supadio,
2010-01-01,Hasanuddin,1913.0
2010-01-01,Sultan Badaruddin II,
2010-01-01,Minangkabau,1714.0
2010-01-01,Sultan Syarif Kasim II,1056.0
2010-01-01,Pintu Udara Lainnya,1648.0
2010-01-01,Bandara Int. Lombok,727.0
2010-01-01,Batam,79560.0
2010-01-01,C. Pintu Darat,1262.0
2010-01-01,Tanjung Balai Karimun,6912.0
2010-01-01,Tanjung Benoa,
2010-01-01,Tanjung Mas,
2010-01-01,Pintu Laut Lainnya,5535.0
2010-01-01,Jayapura,
2010-01-01,Tanjung Uban,21604.0
2010-01-01,Atambua,
2010-01-01,Tanjung Pinang,6173.0
2010-01-01,Nanga Badau,
2010-01-01,Pintu Darat Lainnya,
2010-01-01,Jumlah (A+B+C),461095.0
2010-01-01,Lainnya,32704.0
2010-01-01,Total,493799.0
2010-01-01,Entikong,1262.0
2010-01-01,Aruk,
2010-02-01,B. Pintu Laut,127592.0
2010-02-01,Ngurah Rai,191362.0
2010-02-01,Soekarno-Hatta,121727.0
2010-02-01,Juanda,12241.0
2010-02-01,Kualanamu,12625.0
2010-02-01,Husein Sastranegara,6809.0
2010-02-01,Adi Sucipto,4006.0
2010-02-01,Bandara Int. Lombok,974.0
2010-02-01,Sultan Iskandar Muda,
2010-02-01,Minangkabau,2005.0
2010-02-01,Sultan Syarif Kasim II,1268.0
2010-02-01,Ahmad Yani,
2010-02-01,Supadio,
2010-02-01,Hasanuddin,2045.0
2010-02-01,Sultan Badaruddin II,
2010-02-01,A. Pintu Udara,359018.0
2010-02-01,Pintu Udara Lainnya,1648.0
2010-02-01,Nanga Badau,
2010-02-01,Batam,80966.0
2010-02-01,Sam Ratulangi,2308.0
2010-02-01,Tanjung Pinang,8548.0
2010-02-01,Tanjung Balai Karimun,9100.0
2010-02-01,Tanjung Benoa,
2010-02-01,Tanjung Mas,
2010-02-01,Pintu Laut Lainnya,5260.0
2010-02-01,C. Pintu Darat,2432.0
2010-02-01,Jayapura,
2010-02-01,Tanjung Uban,23718.0
2010-02-01,Entikong,2432.0
2010-02-01,Aruk,
2010-02-01,Pintu Darat Lainnya,
2010-02-01,Jumlah (A+B+C),489042.0
2010-02-01,Lainnya,33884.0
2010-02-01,Total,522926.0
2010-02-01,Atambua,
2010-03-01,Soekarno-Hatta,183449.0
2010-03-01,Juanda,14455.0
2010-03-01,Kualanamu,14000.0
2010-03-01,Husein Sastranegara,7155.0
2010-03-01,Adi Sucipto,4467.0
2010-03-01,Bandara Int. Lombok,1293.0
2010-03-01,A. Pintu Udara,423943.0
2010-03-01,Sultan Iskandar Muda,
2010-03-01,Minangkabau,2350.0
2010-03-01,Sultan Syarif Kasim II,1319.0
2010-03-01,Ngurah Rai,191125.0
2010-03-01,Ahmad Yani,
2010-03-01,Supadio,
2010-03-01,Hasanuddin,1080.0
2010-03-01,Sam Ratulangi,1602.0
2010-03-01,Pintu Udara Lainnya,1648.0
2010-03-01,Sultan Badaruddin II,
2010-03-01,Entikong,1873.0
2010-03-01,B. Pintu Laut,131280.0
2010-03-01,Tanjung Pinang,7731.0
2010-03-01,Tanjung Balai Karimun,9446.0
2010-03-01,Tanjung Benoa,
2010-03-01,Tanjung Mas,
2010-03-01,Pintu Laut Lainnya,5271.0
2010-03-01,Jayapura,
2010-03-01,Nanga Badau,
2010-03-01,Tanjung Uban,27100.0
2010-03-01,Aruk,
2010-03-01,Atambua,
2010-03-01,Total,592519.0
2010-03-01,Lainnya,35423.0
2010-03-01,C. Pintu Darat,1873.0
2010-03-01,Pintu Darat Lainnya,
